caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
"🏈 Quarterback @PatrickMahomes is passing the time with his #hometeam.​⁣
​⁣
Let’s all connect through our upcoming virtual events. Get notified now at our link in bio or by visiting adidas.com/hometeam",33k,114,0,0,0,0,0,0,0,0,0,0,0,0,0
"@Anitta is taking it day by day with a new routine: wake up - workout - repeat. 💪​⁣⁣
​⁣⁣
Our virtual events are here to help the #hometeam keep our hearts, minds and bodies healthy. ​⁣⁣
⁣
Sign up now at our link in bio or visit adidas.com/hometeam",35k,519,0,0,0,0,0,0,0,1,0,0,0,0,0
"@PaulPogba brings the game home. ⁣#hometeam ​⁣⁣
⁣
Our upcoming virtual events will help us connect with what we love. ⁣Get notified at our link in bio or by visiting adidas.com/hometeam",37k,134,0,0,0,0,0,0,0,0,0,0,0,0,0
"Notecards, pen, cardboard, thoughts 👉 new movie? @JonahHill​⁣
​⁣
It’s time to create, move and have fun. We’re here with the #hometeam to do just that. ​⁣
​⁣
Get notified to join our upcoming virtual events by signing up now at our link in bio or by visiting adidas.com/hometeam",38k,174,0,0,0,0,0,0,0,0,0,0,0,0,0
"We know we don’t have all the answers. But one thing is certain – together is how we’ll get through this. ⁣
⁣
Swipe through to hear from some of the adidas family. #hometeam",80k,458,0,0,0,0,0,0,0,0,0,0,0,0,0
"To all our athletes, teammates and friends across the world.",210k,1084,0,0,0,0,0,0,0,0,0,0,0,0,0
"We don’t just want a world with more women founders, we need it. ⁣
⁣
This belief led us to partner with iFundWomen to put our resources behind entrepreneurs who are helping to define a new and more inclusive future for the sports industry - but it doesn’t stop there.⁣
⁣
Between now and March 31st, more women can submit their industry-changing ideas and apply to join the program to receive financial support and expert business coaching. Learn more at ifundwomen.com/adidas​",36k,234,0,0,0,0,0,0,0,0,0,0,0,0,0
"He isn’t running to be faster than anybody else. He’s running to feel free.

#FasterThan by @300poundsandrunning 
See more at adidas.com/running",64k,380,0,0,0,0,0,1,0,0,0,0,0,0,0
"Empowering Chicago to power Chicago.⁣
⁣
Creating a lasting impact is a shared responsibility and it starts with the next generation. Our roster of gamechangers came together under one team in Chicago to improve access to career resources and inspire hundreds of #adidasLegacy program youth. ⁣
⁣
For every superstar changing the game, theres a community behind them that made it possible. #ChangeIsATeamSport⁣",205k,477,0,0,3,0,0,0,0,0,0,0,0,0,0
"1.8 million recycled plastic bottles-turned-field. If this sounds like the future of football, that’s because it is.⁣
⁣
We believe that improving ocean health is a must for future generations. In an effort to educate and empower the youth to take action, we partnered with @umiamirsmas to explore the harm of plastic waste in the oceans and @parley.tv to unveil the first sustainable football field at South Florida’s Miami Edison High School. ⁣
⁣
This wouldn’t have been possible without the thousands of hours and hundreds of people that came together to help shape the community. #ChangeIsATeamSport",82k,293,0,0,1,0,0,0,0,2,0,0,0,0,0
"@patrickmahomes 
Born to change the game.⁣⁣
Born to be a champion. ⁣⁣
That’s Mahomie. 🏆⁣",175k,920,0,0,0,0,0,0,0,0,1,0,0,0,0
🗣 @PatrickMahomes was born to change the game. But don’t take it from us.. 👆,52k,178,0,0,0,0,0,0,0,0,0,0,0,0,0
"The adidas family’s hearts are with the families, friends and all those affected by today’s tragedy. Kobe was a true legend that inspired others beyond the boundaries of the game. He will be greatly missed.⁣ ⁣

Mamba forever.",860k,1661,0,0,0,0,0,0,0,0,1,0,0,0,0
"Change can’t happen alone.⁣⁣⁣
🔈 Sound on ⁣⁣⁣
⁣⁣
Directed by @JonahHill⁣⁣
#adidasSUPERSTAR #ChangeIsATeamSport",90k,2842,0,0,0,0,0,0,0,1,0,0,0,0,0
"adidas x IVY PARK, available at adidas.com/ivypark January 17 midday PST, in-store January 18. #adidasxIVYPARK",153k,1098,0,0,0,0,0,0,0,1,0,0,0,0,0
adidas x IVY PARK. January 18. adidas.com/ivypark. #adidasxIVYPARK,84k,1042,0,0,0,0,0,0,0,1,0,0,0,0,0
"No coincidences. No mistakes. Only preparation.​⁣
​⁣
For those who take the time to pursue their passion, this one’s for you. ​⁣Grab Ninjas “TIME IN” #NiteJogger December 31st in store or online at adidas.com/ninja",332k,3095,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unlike any other. ⁣⁣
⁣⁣
@leomessi becomes the first player in history to win 6 Ballon dOr awards, and hes not done yet.⁣⁣
⁣⁣
🏆🏆🏆🏆🏆🏆⁣⁣
⁣⁣
#HereToCreate",212k,1192,0,0,0,0,0,0,0,2,0,0,0,0,0
"Do you copy?⁣
⁣
... #ULTRABOOST 20 lands December 6th on adidas.com 🚀",84k,1560,0,0,0,0,0,0,0,1,0,0,0,0,0
"A duo, made in Italy. @Prada for adidas Limited Edition. Available December 4th at adidas.com/prada. #Pradaforadidas",98k,915,0,0,1,0,0,0,0,3,0,0,0,0,0
"“As a runner, you typically have a few pairs of shoes you’re rotating through. You may need a different shoe for long runs, another shoe for speed. We might run through a pair in a month and a half. So ideally, you’d have different types that meet different needs, but each pair would be recyclable. A shoe like this could mean that I’m not chucking 10 pairs of shoes in landfill every year.” ⁣
⁣
Founder of @GirlsRunNYC, @JessieZapo is one of 200 [FUTURECRAFT.LOOP] beta-testers. She gave heaps of feedback on GEN 1 and returned it to us.  We remade it into Jessie’s GEN 2. Zero performance lost. Zero plastic waste. One step closer on our journey to end plastic waste.⁣
⁣
[FUTURECRAFT.LOOP] Made to be remade. ⁣
⁣
#FUTURECRAFT LOOP
#adidasRunners",83k,250,0,0,0,0,0,1,0,1,2,0,0,0,1
"“Just 5 to 10 years ago, if you owned more than 20 pairs of shoes you were whack. You had a problem. Then it was normal to own 20, then 50, then 100 plus. We have to change our thinking to the opposite. Let’s give back the shoes instead of keeping them in the closet. I think we’re still quite far off from that sort of thinking being widely accepted, but the shift will happen fast if the whole industry backs into it.” ⁣
⁣
GEN 1 beta-tester and founder of @StapleDesign, @JeffStaple lives for releases. We heard his thoughts on [FUTURECRAFT.LOOP] and ideas on the future of the footwear industry. He gave back his GEN 1 and we remade it into his GEN 2. Zero plastic waste and one step closer to a culture of less. ⁣
⁣
[FUTURECRAFT.LOOP] Made to be remade.⁣
⁣
#FUTURECRAFT LOOP",72k,221,0,0,0,0,0,1,0,0,0,0,0,0,1
"“When I first heard about [FUTURECRAFT.LOOP] I was skeptical. There’s a lot of greenwashing around, and I like to dig deeper. GEN 1 is 100% recyclable and although there’s no waste created, GEN 2 still means adding virgin plastic into the stream, which isn’t going to work in the long run. My question is - at what stage do we reach 1:1 recyclability? That being said, I do think it’s really important that big companies invest in this kind of innovation. This generation of the shoe might not offer the complete solution yet, but it could get us there. I have my fingers crossed for the future.” ⁣
⁣
[FUTURECRAFT.LOOP] GEN 1 beta-tester @SophieHellyer is a surfer, writer and environmentalist. She gave her critique when she handed back her GEN 1 for regeneration into GEN 2. We thank her for holding us to account on every step of our journey to eliminating virgin plastic and ending plastic waste. ⁣
⁣
[FUTURECRAFT.LOOP] Made to be remade. ⁣
⁣
#FUTURECRAFT LOOP",78k,151,0,0,0,0,0,1,0,2,0,0,0,0,1
"We launched its beta test in April with a 100% recyclable running shoe. Now we’re at a critical point in the journey. For the first time, the return of a shoe is more important than getting it...​⁣
⁣
[FUTURECRAFT.LOOP] Made to be remade. ⁣
⁣
#FUTURECRAFT LOOP",73k,695,0,0,0,0,0,1,0,0,0,0,0,0,0
"This is just the beginning. [FUTURECRAFT.LOOP] Gen 2 is proof of progress for our first ever 100% recyclable, high-performance running shoe. Bringing us one step closer to a circular future and a world without plastic waste.⁣
⁣
[FUTURECRAFT.LOOP] Made to be remade. ⁣
⁣
#FUTURECRAFT LOOP",130k,668,0,0,0,0,0,1,0,0,0,0,0,0,0
"There’s nothing more powerful than believing in yourself.⁣
⁣
At age 6, Stefanos Tsitsipas started taking tennis lessons. By 17, he became world junior number one. Now, at just 21 years old, he is living out his dream winning the biggest title of his career. #HereToCreate",157k,239,0,0,0,0,0,0,0,1,0,0,0,0,0
"Seattle dreamed together, @soundersfc delivered.
2019 MLS Cup Champions. #HereToCreate

Photo by @bystith",87k,352,0,0,1,0,0,0,0,1,1,0,0,0,0
"When sport meets Silicon Valley the future begins. Years of athlete data digitally awaken.​⁣ Light and oxygen chisel lattice from liquid.​⁣ And a uniquely perfect midsole is born.​⁣ 3D printed to change the game.​⁣
​⁣
#ALPHAEDGE #ADIDAS4D",113k,247,0,0,0,0,1,1,0,0,0,0,0,0,0
"#Pradaforadidas ⁣⁣@Prada. Coming soon. ⁣⁣
⁣⁣adidas.com/Prada",124k,847,0,0,0,0,0,0,0,0,0,0,0,0,0
"The race to space begins now. 🚀 ​
For our first chapter with @iss_casis, head to @adidasRunning to learn more. #adidasISSNationalLab",47k,179,0,0,0,0,0,0,0,0,0,0,0,0,0
"The race might be over, but the finish line doesnt end here. ​Imagination will take you anywhere. #HereToCreate",86k,190,0,0,0,0,0,0,0,0,0,0,0,0,0
"Imagination can take you from half marathon champion to running your first marathon ever. And winning it. ⁣
⁣
Congratulations Joyciline Jepkosgei on a fearless 26.2. #HereToCreate",81k,145,0,0,0,0,0,0,0,0,1,0,0,0,0
"For four-time winner Mary Keitany, it takes a year in Kenya to make a day to remember in New York. Imagination can take you anywhere. #HereToCreate",53k,138,0,0,1,0,0,0,0,1,1,0,0,0,0
"Alongside his brothers and in front of the world, Siya Kolisi made his country proud. ⁣
⁣
The game has new champions. 🏆 ⁣
⁣
#CreatorsUnite #adidasRugby #Rugby
@siya_kolisi_the_bear",108k,154,0,0,0,0,0,1,0,0,1,0,0,0,0
Ball is life. Make it your own. #FreeToCreate,67k,323,0,0,0,0,0,0,0,0,1,0,0,0,0
The places youll go. The people youll meet.​⁣ The real stories are told by the marks on your feet. #HOMEOFCLASSICS,417k,897,0,0,0,0,0,0,0,1,0,0,0,0,0
"“After my surgery I felt lost. As a professional athlete, I was used to relying on my body but after my mastectomy, I started to lose belief in myself and how my body would react.&quot;​ - Michele Aboro: Mother. Mentor. World Boxing Champion. Breast Cancer Survivor. ​

In honor of Breast Cancer Awareness Month, adidas by @StellaMcCartney introduces its first post-operative sports bra, designed to help women who have undergone mastectomy surgery to bring sport back into their lives. #aSMC",123k,497,0,0,0,0,0,0,0,3,1,0,0,0,0
"Noah Lyles used to spend his time sketching his own superheroes. Today he became one. At 22 years old, he takes home gold in Doha and makes his mark as the future of running. #HereToCreate",76k,345,0,0,1,0,0,0,0,1,0,0,0,0,0
"From the training grounds in Kenya to the streets of Germany. Tomorrow Gladys Cherono could become the first person ever to win four Berlin Marathons.​⁣
⁣
Imagination can take you anywhere. #HereToCreate",52k,254,0,0,2,0,0,0,0,1,1,0,0,0,0
"Let your feet do the talking. 
@leomessi: World Player of the Year 2019
#DareToCreate",159k,767,0,0,0,0,0,0,0,0,1,0,0,0,0
"Made for rain. Made for cold. Made for when you just need a good jacket.​
.​
Rooted in outdoor, designed for the streets. Own the elements with #MYSHELTER​, now available on adidas.com/MYSHELTER
.​
#adidasTERREX @adidasTERREX",53k,311,0,0,0,0,0,0,0,0,0,0,0,0,0
"We all stand for something. What do you represent?​ ​
@JHarden13: Family​
@MetteNarrative: Author​
@Zetao.Ning: Brave​
@PauloDybala: Sacrifice​
@Denise_Schindler: IMPERFECT​
​
#WeRepresent #VRCT",66k,486,0,0,0,0,0,0,0,1,1,0,0,0,0
One of footballs top midfielders discusses his most memorable moments of playing the sport he loves with @MariaTaylor.,47k,257,0,0,0,0,0,0,0,0,0,0,0,0,0
The two discuss how they met and what they have in common: a thirst for competition and creativity. Hosted by @MariaTaylor.,54k,364,0,0,0,0,0,0,0,0,0,0,0,0,0
"On this day in 1949, Adi Dassler registered the “Adi Dassler adidas Sportschuhfabrik” and set to work with 47 employees in the small town of Herzogenaurach. Since then, we have done our best for the best. We have improved and grown. We’ve made an impact not only on sport and athletes, but on fashion, music, sustainability and beyond.
.
Each product represents a moment in our history over the last 70 years that helped shape culture and shift perceptions on what it means to be a sports brand. Looking ahead to the future, always remembering where we came from. This is our story.
.
1950, Samba
1965, Gazelle
1967, Franz Beckenbauer
1970, Superstar
1973, Stan Smith
1994, Predator Cup
2013, Energy Boost 
2015, NMD R1 Primeknit
2016, adidas x Parley
2017, Futurecraft 4D
.
See more at adidas.com",143k,1031,0,0,1,0,0,1,0,6,3,0,1,0,0
"See where your curiosity can take you.
.
Welcome to the family, @MikaelaShiffrin. #HereToCreate
.
@adidasTERREX @adidasWomen",50k,781,0,0,0,0,0,1,0,1,0,0,0,0,0
"Supermodel, Coding Instructor, TV Host and more, but her proudest title is something you might not expect. Hosted by @MariaTaylor.",130k,278,0,0,0,0,0,0,0,1,0,0,0,0,0
"From running the track to ruling the streets.
.
Originally designed for running, the reimagined #OZWEEGO returns - this time for a new generation. Tap to shop.
.
Explore more at adidas.com/OZWEEGO",219k,622,0,0,0,0,0,0,0,0,0,0,0,0,0
From mics to miles. Pusha T talks rap and running with host @MariaTaylor.,125k,1682,0,0,0,0,0,0,0,0,0,0,0,0,0
"Game on, world. 🏆 #FIFAWWC #DareToCreate
.
@reeba04 @lindseyhoran10
.
Photo by @emilysoto",96k,599,0,0,0,0,0,1,0,1,2,0,0,0,0
Introducing the 2019/20 @Arsenal home jersey. Exclusively available through adidas and official club stores now. #DareToCreate,216k,1041,0,0,0,0,0,0,0,0,0,0,0,0,0
"While it’s estimated that 30 million women and girls play football around the world, the reality is that significant financial and cultural barriers still limit participation.
.
This week in Lyon, football players, coaches and referees from more than 50 countries are spending their days at @equalplayingfieldinitiative’s Festival of Football, where they have access to workshops, skills and coaching sessions. Equipping them with skills is one part of driving change - so that they can return to their communities feeling empowered to take action and level the playing field themselves.

Head to @adidasWomen to see more around this initiative.
.
Photo by @floracmac 
#HereToCreate #AnyGirlAnywhere",108k,297,0,0,0,0,0,0,0,3,1,0,0,0,0
"Feet deserve a runner’s high too. 
#PULSEBOOST HD sits on an all-new Boost HD midsole for increased stability with the same crazy responsiveness and comfort.
.
Available exclusively in Titanium BOOST HD in Europe and South America and​ White BOOST HD in North America and Asia. Shop now at adidas.com/FeelTheBoost",79k,350,0,0,1,0,4,0,0,1,0,0,0,0,0
"Some find opportunity in their game, others make them.
Nikita Kucherov, NHL MVP. #HereToCreate
.
@nikitakucherov86",80k,375,0,0,0,0,0,1,0,1,0,0,0,0,0
"“There’s a quote I read about a year ago that really stuck with me, ‘Be the person you needed when you were younger,’ and for me that means someone being their authentic self while chasing their dream.”
@nikkihiltz
.
Inspiring the next generation to be proud of who they are starts with showing them how. #LoveUnites",152k,2913,0,0,0,0,0,0,0,0,0,0,0,0,1
"Imagine being told you can’t win when it counts. ‬
‪You don’t have what it takes.‬
‪You’re not built for this.‬
‪And then imagine shutting out the noise, defeating the reigning champions, and bringing your franchise its first NBA title. 
@kyle_lowry7 #HereToCreate",210k,728,0,0,1,0,0,0,0,1,0,0,0,0,0
"Every participant makes a difference in the race to keep our oceans clean. 
For every km run, $1USD will be contributed to Parley Ocean School (capped at $1.5 million) to educate today’s youth on how to create a better future for our planet.
.
Head to adidas.com/RunForTheOceans to sign up now.
.
#adidasParley @parley.tv",92k,324,0,0,0,0,0,2,1,1,0,0,0,0,0
"Less than 10% of global plastic waste is recycled.
Although it might seem like an overwhelming challenge, there are simple actions we can take to help drive the change we need. And when millions of people make them together, we can have real impact.
.
Sign up to #RunForTheOceans at adidas.com/RunForTheOceans
.
#adidasParley @parley.tv",149k,337,0,0,0,0,0,1,0,1,0,0,0,0,0
"Born from liquid. Sculpted by light. Perfected by oxygen.
This is what happens when sport meets Silicon Valley.
.
ALPHAEDGE 4D, available at adidas.com/4D
.
#ALPHAEDGE #ADIDAS4D",284k,922,0,0,1,0,1,0,0,0,0,0,0,0,0
"In Virginia Beach where it all began, @Pharrell continues his vision to unite the human race at Something in the Water festival.
.
#HereToCreate #SITWfest",119k,454,0,0,1,0,1,0,0,2,0,0,0,0,0
Homecoming @Beyonce,207k,718,0,0,0,0,0,0,0,0,0,0,0,0,0
"By day, we’re governed by rules. But at night, we come alive.
.
Tap to shop #NITEJOGGER
.
Photo by @jacob.fischer
Featuring @_victoriakosenkova_ and @alexjordonez 
@adidasOriginals @adidasLA",266k,446,0,0,0,0,0,0,0,3,1,0,0,0,0
"Come nightfall, our time becomes our own. Gone is the order of the day and out comes the time to pursue our vision. #NITEJOGGER is the physical proof of this truth.
.
Available on adidas.com and in stores.
.
Photo by @salim_adam
Featuring @snoochieshy and @unknwnt9
@adidasOriginals @adidaslondon",206k,1033,0,0,0,0,0,0,0,3,0,0,0,0,0
Make your own wave. 📸 @JimJoe @LiamMacRae,146k,540,0,0,0,0,0,0,0,0,0,0,0,0,0
"One shoe. 100% TPU. 100% Recyclable. Made to be remade without losing performance. For a world without plastic waste.
.
Learn the story behind turning this six year long passion project into a reality, now on IGTV.
.
#Futurecraft",418k,3112,0,0,0,0,0,0,0,1,1,0,0,0,0
"This is the turning point for plastic. To minimize waste and multiply the lives of our materials. This is our first sports shoe thats made to be remade. Futurecraft LOOP.

Learn more: http://a.did.as/FUTURECRAFT__

#Futurecraft 
@willowsmith",209k,696,0,0,0,0,0,1,0,1,1,0,0,0,0
"26.2 miles over matter. Worknesh Degefa, 2019 @BostonMarathon winner. #HereToCreate",68k,350,0,0,0,0,0,0,0,1,0,0,0,0,0
A new beginning. More on 4.4.,299k,1986,0,0,0,0,0,0,0,0,0,0,0,0,0
"Keni Harrison (@ken_aye_) doesn’t just break records, She breaks barriers.

Learn more at http://a.did.as/SheBreaksBarriers___",179k,365,0,0,0,0,0,0,1,0,1,0,0,0,0
"Equal pay for equal play.
.
#FIFAWWC #WorldCup",151k,1803,0,0,0,0,0,0,0,1,0,0,0,0,0
"@kendalljenner in the effortlessly versatile #adidasSLEEK. Made for the ever-changing creator.
.
Tap to shop.
.
Available in stores and online at adidas.com/SLEEK",53k,391,0,0,0,0,0,0,0,0,0,0,0,0,0
"In football, every match starts equal.
The official match ball for the 2019 @fifaworldcup, Conext 19.
100 days to go.
.
#FIFAWWC #WorldCup #Conext19
Video by @bevilacquavisuals",64k,287,0,0,0,0,0,0,0,1,0,0,0,0,0
"#ULTRABOOST 19 wasn’t built in a day.
The Primeknit 360 seamless upper crafted to perfection.
.
Tap to shop.
.
Art by @glackster",464k,1783,0,0,0,1,0,0,0,0,0,0,0,0,0
"More energy. More responsive. More comfort. More support. All at the same time.
.
Tap to shop #ULTRABOOST 19.
Now available in stores and online at adidas.com/running_ultraboost",339k,840,0,0,0,0,0,0,0,0,0,0,0,0,0
"“I’m way further up this never-ending mountain than I thought I would ever be.”
@childishgambino

Record of the Year, Best Music Video, Song of the Year, Best Rap/Sung Performance.
.
#HereToCreate",121k,364,0,0,0,0,0,0,0,1,2,0,0,0,1
"Its His House.
Sony Michel, Champion.
#HereToCreate
.
@flyguy2stackz
@adidasfballus",75k,549,0,0,0,0,0,0,0,2,1,0,0,0,0
"Let whoever say whatever.
Patrick Mahomes II, MVP. 
#HereToCreate
.
@patrickmahomes 
@adidasfballus",144k,433,0,0,0,0,0,0,0,1,1,0,0,0,0
"Simplicity is our boldest attitude.
.
Shop #CONTINENTAL80, now available in stores and online at adidas.com/Continental80",176k,1019,0,0,0,0,0,0,0,1,0,0,0,0,0
"Suited and booted.
Creators only head to @adidasFootball
No fakers allowed.
.
#DareToCreate
.
Shop the Exhibit Pack now at adidas.com/Football",109k,525,0,0,0,0,0,0,0,0,1,0,0,0,0
"Inspire each other to create the future.
.
#adidasOriginals #PFW
Photo: @flora_metayer",206k,722,0,0,0,0,0,0,0,1,0,0,0,0,0
"From nothing to something.
Create your future. 
@atlutd is #HereToCreate",112k,370,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dear adidas,
It’s time to step up and level the field for women in sport.",41k,346,0,0,0,0,0,0,0,0,0,0,0,0,0
"“It’s crazy to think how far you can come in a year. It’s crazy to think how far you can go.” -@juju
.
#BuiltToDefy #adidasTERREX
@adidasTERREX
.
📷: @brolimitsoldier",84k,286,0,0,0,0,0,1,0,1,0,0,0,1,0
"A piece of history.
The original ULTRABOOST will be unlocked from the archives on December 1st at adidas.com/ultraboost.
.
#ULTRABOOST",273k,1310,0,0,0,0,0,0,0,2,0,0,0,0,0
"Precision designed to let you take control of the energy you create.
.
ALPHAEDGE 4D drops November 17th on adidas.com and select retailers worldwide. Save the date and this post to your collection. 📲
.
#ALPHAEDGE #adidas4D",307k,2298,0,0,0,0,0,0,0,1,0,0,0,0,0
"Control creates chaos.
.
Coming November 17th.
.
#ALPHAEDGE #adidas4D",103k,422,0,0,0,0,0,0,0,1,0,0,0,0,0
"Confidence has no ceiling.
@mayajama wears the Statement Collection.
.
Shop now at adidas.com/StatementCollection
.
#HereToCreate",118k,336,0,0,0,0,0,0,0,0,1,0,0,0,0
"“Different places that I visit inspire me. I like to wear different outfits based on where I am in the world.” - @dualipa
Dua wears the Statement Collection. Tap to shop.
.
#HereToCreate",149k,444,0,0,0,0,0,0,0,0,0,0,0,1,0
"Stand out and make your mark.
@KendallJenner wears the Statement Collection. Tap to shop.
.
#HereToCreate",517k,924,0,0,0,0,0,0,0,0,0,0,0,0,0
"From fitness and fashion, to entertainment and style, @dualipa, @karliekloss, @hannahbronfman, @garbimuguruza and @shaymitchell are leading creators.
.
#HereToCreate",80k,360,0,0,0,0,0,0,0,4,0,0,0,0,0
"Three standout looks, three ways to make a statement.
.
Swipe to see the Statement Collection, offering versatile pieces to mix and match for every level of support. Save this post to shop later. 👊
.
@shaymitchell @hannahbronfman @karliekloss
.
#HereToCreate",144k,376,0,0,0,0,0,0,1,1,0,0,0,0,0
"It takes more than a dream to become a World Champion.
@PaulPogba
.
Shop now at adidas.com/PODSystem
#PODSystem",130k,525,0,0,0,0,0,1,0,1,0,0,0,0,0
"Greater than the sum of its parts.
🔎 Product code: B37459, B28080
.
@adidasOriginals",264k,716,0,0,0,0,0,0,0,0,0,0,0,0,0
"When New York imagines, creativity comes to life. 
Swipe to see the complete Never Made collection, bringing together silhouettes of the past and present.
.
Available October 17th. 
See more at adidas.com/NeverMade",139k,1173,0,0,1,0,0,0,0,0,0,0,0,0,0
"Past empowers future. At the Makers Lab in NYC, creators build their own imaginative yet iconic silhouettes by fusing past and present designs together.
.
Learn more at adidas.com/hypefest",110k,494,0,0,0,0,0,0,0,1,1,0,0,0,0
"New York city’s creators came together to create a brand new shoe, Boost Your Castella. 
The shoe was named by the community and crafted by @j.theripper.
.
Discover more at adidas.com/hypefest",126k,857,0,0,1,0,0,0,0,1,0,0,0,0,0
WE GOT LOVE. YEEZY BOOST 350 V2 TRIPLE WHITE. 9.21.18,114k,1739,0,0,0,0,0,0,0,0,1,0,0,0,0
WE GOT LOVE. YEEZY BOOST 350 V2 TRIPLE WHITE. 9.21.18,115k,682,0,0,0,0,0,0,0,0,1,0,0,0,0
WE GOT LOVE. YEEZY BOOST 350 V2 TRIPLE WHITE. 9.21.18,158k,7068,0,0,0,0,0,0,0,0,1,0,0,0,0
"Champions leave with a trophy, icons leave a legacy. 48 years ago, @BillieJeanKing created a platform for women in sport and yesterday @NaomiOsakaTennis became Japan’s first ever Grand Slam champion.
---
Use #CreatorsUnite to share your barriers to sport so we can create change together.
@adidasTennis",58k,493,0,0,1,0,0,0,0,3,1,0,0,0,0
"Here To Create History.
@NaomiOsakaTennis, Japan’s first ever Grand Slam Champion.
#HereToCreate
#CreatorsUnite",127k,829,0,0,1,0,0,0,0,2,0,0,0,0,0
"Tied to the 90s. @kyliejenner wears #FALCON. 🔎 Product code: B28126
@adidasOriginals
---
Explore FALCON at adidas.com/Falcon",97k,507,0,0,0,0,0,0,0,1,0,0,0,0,0
"The boldest silhouette yet from @adidasOriginals.
🔎 Product code: B28126
---
#FALCON",198k,1318,0,0,0,0,0,0,0,1,0,0,0,0,0
"The Z.N.E. hoodie Fast Release. For the always ready athlete.
Tap to buy now.
---
@deandrehopkins
#ZNE #RipReady
Available at adidas.com/athletics_zne",232k,479,0,0,0,0,0,1,0,1,0,0,0,0,0
"Run your way in #PureBOOST Go. Tap to buy now.
---
Available at adidas.com/running",310k,464,0,0,0,0,0,0,0,0,0,0,0,0,0
"Seize the matchday.
The all-new Team Mode pack from @adidasFootball. Tap to buy.
#HereToCreate
---
#Predator #X18 #NEMEZIZ",169k,560,0,0,0,0,0,0,0,1,0,1,0,0,0
"Take aim like @londonmadejon. Pull strings like @paulpogba.
Explore #Predator now. Link in bio.
---
@adidasfootball",83k,343,0,0,0,0,0,0,0,2,0,0,0,0,0
"Inspired by collective memory. Reimagined for a new era.
#PODSystem
---
Shop POD System at adidas.com/podsystem",48k,536,0,0,0,0,0,0,0,0,0,0,0,0,0
"A sneaker as innovative as the archives that inspired it.
#PODSystem is now available. Tap to buy.
---
Available at adidas.com/podsystem",162k,415,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three technologies reimagined for today.
Explore #PODSystem. Link in bio.
---
@adidasoriginals",52k,264,0,0,0,0,0,0,0,0,0,0,0,0,0
"World Champion.
End of Story. 
@paulpogba 
#HereToCreate
---
#WorldCup",268k,1522,0,0,0,0,0,0,0,2,0,0,0,0,0
"Les Indestructibles. 
The midfield is theirs.
#HereToCreate
---
@paulpogba @nglkante
#WorldCup",67k,377,0,0,1,0,0,0,0,2,0,0,0,0,0
"He played for the shirt and they remembered the name. In Saint-Denis, twenty years since Zinedine @Zidane led his country to FIFA World Cup glory the city’s next generation of creators has a new place to play.
#HereToCreate
---
@adidasParis 
#WorldCup",111k,292,0,0,1,0,0,0,0,3,0,0,0,0,0
"The world watched, @paulpogba created. 
#HereToCreate
---
#WorldCup",51k,224,0,0,0,0,0,0,0,2,0,0,0,0,0
"The art of the midfield. 
Create there and win anywhere. 
#HereToCreate
---
@zidane
#WorldCup",75k,299,0,0,0,0,0,0,0,2,0,0,0,0,0
"Creativity defies expectations.
@belgianreddevils
#HereToCreate
---
#WorldCup",113k,724,0,0,0,0,0,0,0,2,0,0,0,0,0
"Start the wave that makes a change. Runners from all over the world have joined the fight against marine plastic pollution to Run For The Oceans. There’s still time to join the movement. Hit the link in bio to run for a reason before Sunday.
---
@adidasRunning @Parley.tv 
#RunForTheOceans 
#adidasParley",93k,311,0,0,0,0,0,1,1,0,0,0,0,0,0
"Inspire a nation.
#HereToCreate
---
@teamrussia
#WorldCup",59k,621,0,0,0,0,0,0,0,1,0,0,0,0,0
"Create the dream. 
#HereToCreate 
#WorldCup",137k,403,0,0,0,0,0,0,0,1,0,0,0,0,0
"When it’s needed most, creativity is the answer.
#HereToCreate 
#WorldCup",397k,1471,0,0,0,0,0,0,0,1,0,0,0,0,0
"Creativity can inspire a nation. 
From @irina_gorbacheva and @yurydud to @shnurovs and @pokraslampas some of Moscow’s best creators have reimagined the World Cup jersey worn by @teamrussia 
#HereToCreate
---
@adidasRussia 
#WorldCup",108k,327,1,0,1,0,0,0,0,6,0,0,0,0,0
"Creativity born on the streets of Brazil, sets its sights on Russia.
#HereToCreate
---
@dejesusoficial 
#WorldCup",214k,962,0,0,2,0,0,0,0,1,0,0,0,0,0
"Destiny brought them here.
Creativity sets them apart. 
#HereToCreate
---
Watch the full series on youtube.com/adidasFootball 
@ch14_ @luissuarez9 @dele 
#WorldCup",94k,541,0,0,0,0,0,0,0,2,0,0,0,0,0
"Creativity unites the world. 
#HereToCreate 
#WorldCup",90k,274,0,0,0,0,0,0,0,1,0,0,0,0,0
"Take the mic. Create something.
@pharrell #HereToCreate
---
Over to you: adidas.com/heretocreate",61k,206,0,0,0,0,0,1,0,0,0,0,0,0,0
"Creativity unites us. #HereToCreate
---
@Roberto_firmino @ch14_ @bernardocarvalhosilva @dejesusoficial @m10_official @florencia.galarza @seanfreestyle 
Rewrite the rules: adidas.com/heretocreate",104k,206,0,0,0,0,0,1,0,1,0,0,0,0,0
