caption,n_likes_1000,n_comments,event,fac,gpe,law,loc,money,norp,org,person,product,work_of_art,personal_quote,quote
"⠀
⠀
“My color doesn’t stop me from doing what I want to do. We’re all playing with the same ball, we’re playing with eleven players on each side. Football isn’t made for a certain person. Football is a universal language, anyone can play it.” - Debra Nelson
⠀
The second episode of the Common Thread series featuring Debra Nelson (@FootballBeyondBorders), @its_kairabaaa (@fcharlem) and @cdunn19 (@uswnt) focuses on sport’s ability to transcend borders and boundaries with something as simple as a ball and a goal.
⠀
🗣️: Crystal Dunn
🎥: @childotu",156k,1195,0,0,0,0,0,0,0,1,2,0,1,1,0
"⠀
⠀
“Representation matters, and you can’t become something that you don’t see.” - @Ingridsilva
⠀
Together, a prodigy from Brazil who became the face of modern ballet, and a young dancer in Florida uplifting anyone who sees him move are united by a common thread.
⠀
The first episode of the Common Thread series focuses on representation in sport, with athletes Ingrid Silva and @alexanderrthomass showing the next generation what is possible when we believe our passions cannot be limited, and no barriers can hold us back. #UntilWeAllWin
⠀
🗣️: @serenawilliams
🎥: @childotu",152k,1331,0,0,2,0,0,0,0,2,1,0,0,1,0
"The Future of Sport is here. #Nike2020
⠀
Head to our link in bio to join us.",199k,1792,0,0,0,0,0,0,0,1,1,0,0,0,0
"“At first, my abuela, she didn’t get it. ‘Dalia, it’s too rough for a girl. Your mom was a cheerleader – why don’t you be a cheerleader?’ Football is where I get my strength. Where I prove that nothing is off-limits. Where I can be whatever I want.”
⠀
Dalia Hurtado’s family had specific expectations of her: Work hard, get good grades, and follow in her mother’s footsteps as a cheerleader. But cheering on the sideline was never an option for Dalia.
⠀
As a kid in Mexico, she was the only girl who would play soccer with the boys, and after moving back to East LA with her abuela, she set her sights on football. At 16, she became the only girl to make the varsity team at her high school. Two years later, she’s inspired more girls to play football at her high school.
⠀
Through football, Dalia is re-writing the story her family wrote for her, breaking through stereotypes, and empowering her community to do the same – one game at a time.",267k,1723,0,0,1,0,1,0,0,0,4,0,0,0,1
"Mamba forever.
Our condolences to Kobe and Giannas family and everyone involved in today’s tragedy.",2m,11420,0,0,1,0,0,0,0,0,1,0,0,0,0
"“Everyone deserves the right to be well. It’s just a matter of investing in it.” @nicoleacardoza is invested in helping close the wellness gap.
⠀
Thanks to a donation based yoga class in college, Nicole was able to feel at home in her body for the first time. Ever since, she’s made it her mission to help others experience the same.
⠀
Whether introducing kids to mindfulness in school through @yogaFoster, or investing in underestimated entrepreneurs through @ReclamationVentures, she’s helping change the landscape of wellness for good.
⠀
Because Yoga should not have a type. Yoga is for all.",138k,1713,0,0,0,0,0,0,0,0,1,0,0,0,0
"“When we started to play we were in elementary school, we must’ve been around 12 years old. And well, we’re still together.” - Adela

Meet Hoops Abuelas, a crew of 16 women proving the only number that really matters is the one on your jersey. Hailing from Orizaba, Mexico, the team has been playing since 1952, and credits their skills, values, and sisterhood for keeping them strong for the past 67 years. #JustDoIt ⠀

Watch “In Good Company: Hoops Abuelas” on @nikewomen’s IGTV.
⠀
🎥: @changeme2012
📸: @asdavidelliott",446k,3937,0,0,2,0,0,0,0,3,1,0,0,1,0
"“We’re brothers, we shared the same room when we were kids. The fact that there were two future players in that same room who would be lucky to have great careers is remarkable.” - @marcgasol
⠀
“It is a lot of fun. We just feel so lucky, you know. That two brothers, doing what we love, at the level that we have achieved, it’s very rare.” - @paugasol
⠀
Pau and Marc Gasol first picked up a basketball in a small suburb of Barcelona, Sant Boi De Llobregat. From here they would start their journey to the NBA, FIBA World Championships and their ultimate goal – inspiring the next generation to live a healthier lifestyle.
⠀
Whether through the Gasol Foundation or Basquet Girona, the Gasol brothers know their legacy is bigger than basketball.
⠀
This is their Birthplace of Dreams. #justdoit",154k,2226,0,0,1,0,0,0,0,4,5,0,0,1,0
"“When I’m swimming, I’m living in the moment. I’m so mindful, I just connect with nature.” - @redseacitizen, Scuba Diving Instructor

One dive and Nouf Alosaimi was hooked. Now she’s an instructor, teaching women how to scuba dive and showing the world how to protect our oceans. #justdoit",531k,3229,0,0,0,0,0,0,0,1,2,0,0,0,0
"⠀
⠀
“I was born in Breda, but its the things I’ve overcome on my journey from there that have made me the player I am today.&quot; - @virgilvandijk

Virgil Van Dijk was a football-obsessed kid playing on cage courts near his southern Holland home.

Years later and with many challenges overcome, hes a European Champion and recognized as the world’s best defender.

This is his Birthplace of Dreams. #justdoit",210k,2214,0,0,1,0,0,0,0,4,1,0,0,0,0
"“It seemed too far, too crazy, too hard. But we never thought it was impossible.”
⠀
Thai superstars @rachwinwong and @artiwara ran over 2,000 kilometers across Thailand – that’s one marathon a day for 55 days – to raise awareness about the country’s healthcare problems.
⠀
But this was not the only finish line out there for them. It’s just the start of their crazy dream to change the world for the better, one run at a time. #justdoit",162k,1078,0,0,2,0,0,0,1,0,1,0,0,0,1
"Helden features a new generation of German athletes, who work hard on and off the pitch, on the track and in their communities.  They don’t just focus on the win, they pave the way for others and push culture in a positive direction.
⠀
We believe in a world in which everyone can become a hero, leveraging the powerful platform sport provides to those who speak up.
⠀
You never do it just for yourself.
(Du tust es nie nur für dich.)
#justdoit",137k,1043,0,0,1,0,0,0,1,1,0,0,0,0,0
"“People going through these kind of struggles need support… For 17 years I struggled with my sexuality. When I was in college, I used to cry to my best friend because I didn’t feel like I belonged, like the guys on the team didn’t like me. My best friend told me to be yourself, go out there and work hard, and that’s what I did on the track because I had something to prove, I didn’t let that circumstance define who I was.” @KerronClement
⠀
On National Coming Out Day, we celebrated safe, inclusive spaces for LGBTQIA+ athletes and the power of sport for all at the LA City College Track. #BETRUE #UntilWeAllWin",307k,1491,0,0,0,0,0,0,0,1,0,0,0,1,0
"“I kept saying, ‘tomorrow is my day.’ I wanted to be the second @kipchogeeliud — the Kipchoge for women. I focused on that.”
⠀
At 25 years old #BrigidKosgei is now the fastest woman on earth. In a weekend of broken barriers, Brigid shattered @paula_radcliffe’s 16-year-old marathon world record by 81 seconds.
⠀
Don’t change your dreams, change the world… And the world record, while you’re at it. #justdoit",200k,1085,0,0,1,0,0,0,0,2,0,0,1,0,1
"“Smiling doesn’t win you gold medals.” - @simonebiles

It’s Simone’s intense focus, energy, and relentless drive that have made her the best to ever do it. And by testing her own limits once again this week at the World Championships, she now has 25 medals — making her the most decorated world champion in gymnastics history. #🐐 #justdoit",327k,1178,1,0,0,0,0,1,0,0,0,0,0,1,0
"“I run to prove to any human in this universe that there are no limitations.” @kipchogeeliud 
A crazy dream come true — Eliud Kipchoge becomes the world’s first to run a marathon in under two hours. #justdoit",547k,2316,0,0,0,0,0,0,0,0,0,0,0,1,0
"&quot;Players are role models for a lot of people. You know, once you get on a football field, to see all of the different backgrounds on each team, its quite a remarkable thing. I do think that sport, football, plays a big role.&quot; - @sterling7
⠀
Raheem Sterling, Marcus Rashford, and Tammy Abraham celebrate Black History Month UK and stand together as more than teammates.
⠀
Until we all win. #justdoit",324k,1237,1,0,1,0,0,0,0,0,3,0,0,0,0
"“Your dream starts as a kid. You get older and your aspirations grow, because you believe you can do it.” -@rafaelnadal
⠀
Rafa wins his 19th major. One shy of tying the all-time men’s record. #justdoit",392k,2566,0,0,0,0,0,0,0,0,1,0,0,1,0
"“Our team is younger and more aggressive than before. We need to show the fighting spirit in the game. We’re hoping to influence the whole game through a positive mindset and contribute to Chinese basketball.” – @yi_jl
⠀
As the leader and veteran of China’s basketball team, Yi Jianlian dreams that the young team will make a mark in this year’s FIBA World Cup, continuing to grow visibility and participation in Chinese basketball.
⠀
#justdoit #BeTheProof",227k,2081,1,0,1,0,0,1,2,0,1,0,0,1,0
This is what it looks like to be an 18-time Grand Slam winner. #justdoit,155k,627,0,0,0,0,0,0,0,0,0,0,0,0,0
"&quot;I want to make sure that they’re growing up in a world better than the one we are currently living in.” - @kobebryant
⠀
As the coach of his daughter Gianna’s basketball team, Kobe’s belief in the power of sport lives past his own career.
⠀
It’s that same belief that led him to create Mamba League.
⠀
Today, Mamba League provides access to basketball to all kids, giving them skills to change their life both on and off the court. #justdoit #madetoplay
⠀
Join us at: https://swoo.sh/33BcZ1e",230k,1330,0,0,0,0,0,0,0,4,3,0,0,0,0
"“If youre looking to start running, or swimming, or playing baseball, or whatever you want to do, take one step towards that every day. Go out and run a mile, or go look for a pool to jump into. It’s just a matter of taking that first step—because that one step can change everything.” - @wicked.la",139k,897,0,0,0,0,0,0,0,0,0,0,0,0,0
"“Pain goes away. But the pride of knowing you gave everything? That’ll stick with you forever.” -@mathewfras
⠀
Mat defended his title as the Fittest Man on Earth by winning his fourth-straight CrossFit Games championship, proof that Hard Work Pays Off. #HWPO #justdoit",456k,1896,0,0,0,0,1,1,0,1,0,0,0,1,0
This is what it looks like to be two of the world’s best beach volleyball players #justdoit,151k,951,0,0,0,0,0,0,0,0,0,0,0,0,0
"“Your team is your family, and it’s for them that you want to play.”
⠀
Kristina left her parents to pursue her dream of playing football for her country. Sharing a bed with her grandma as she trains at her club in Moscow, she’s doing whatever it takes to represent Russia.
⠀
Follow her story in ’Spit Fire, Dream Higher’—our latest collaboration with @adwoaaboah and @gurlstalk.",221k,966,0,0,3,0,0,0,0,1,1,0,0,0,1
"“Football means everything to me. I want to play football forever. I do.”
⠀
Football is Londiwe’s life, keeping her off the streets of Johannesburg and bonded to her teammates with a shared love of the beautiful game.
⠀
Follow her story in ‘Spit Fire, Dream Higher’ – our latest collaboration with @adwoaaboah and @gurlstalk.",159k,948,0,1,1,0,0,0,0,2,1,0,0,0,1
This is what it looks like to be golf’s 15x major winner. #justdoit,160k,1254,0,0,0,0,0,0,0,0,0,0,0,0,0
"“When you stop thinking about things that have happened in the past and focus on this moment, you achieve greatness. Your destiny is in your hands.” Precious trains at Right to Dream Academy—the first women’s football academy in West Africa. On and off the pitch, she’s proving that young women can take control of their lives and achieve incredible things.

Follow her story in &quot;Spit Fire, Dream Higher&quot;—our latest collaboration with @adwoaaboah and @gurlstalk.",183k,678,0,0,1,0,0,0,0,1,1,0,0,0,0
"“‘Spit Fire, Dream Higher’ is the culmination of an incredible journey to unearth girls from around the world who have fought through oppression and continue to be resilient through their love for football. The documentary truly celebrates them and the grassroots communities they are a part of.”
- @adwoaaboah
⠀
Don’t change your dream, change the world. #justdoit",234k,1144,0,0,0,0,0,0,0,0,0,0,1,0,1
"Few make history. Fewer change it.
⠀
Don’t change your dream. Change the world. #justdoit",534k,3072,0,0,0,0,0,0,0,0,0,0,0,0,0
"“I fight for my people, I fight for everyone. Sport should be an equal language for all.” - @castersemenya800m #justdoit",295k,6838,0,0,0,0,0,0,0,0,0,0,0,0,0
"“The traditional player? Maybe a little boring.” @elisvitolina
⠀
The traditional tennis player? She’s quiet. Respectful. Conservative.
⠀
But Elina Svitolina? Sheʼs outspoken. Defiant. Rebellious.
⠀
Traditionally, she doesnt fit in. And thatʼs what makes her stand out. #justdoit",298k,1039,0,0,0,0,0,0,0,0,1,0,0,1,0
"“I never feel like I have to be stuck in any sort of lines.” @madisonkeys
⠀
Tennis is a sport with definitive lines. These lines tell you when, where, and how you should play.
⠀
In a lot of ways, the same can be said for athletes who play the game. Theyʼre reminded that thereʼs a right and a wrong way to act. Some are even told to be prim, proper, and “ladylike.&quot;
⠀
Madison doesnʼt fit the mold. But sheʼs happy to break it. #justdoit",243k,982,0,0,0,0,0,0,0,0,1,0,0,1,0
"“You can’t be what you can’t see.” - Makena
⠀
The athlete who inspired some of the world’s best isn’t even on a roster this summer. She isn’t a professional soccer player. She isn’t even being recruited. (Yet.)
⠀
She’s a ten-year-old girl. Meet Makena. #justdoit",386k,1782,0,0,0,0,0,0,0,0,1,0,0,1,0
"“Whatever happens, we’re a team. In defeat as much as in victory. It’s impossible to win by yourself.” @amandine_henry
⠀
When Amandine Henry and her teammates were young, they could only dream of an opportunity like this.
⠀
Today, that dream becomes reality.
⠀
Don’t change your dream. Change the world. #justdoit",295k,943,0,0,0,0,0,0,0,0,1,0,0,1,0
"“Even if I were born again, I’d still play football.” @ji_soyun10
⠀
Ji So-Yuns dream isn’t to be one of the best female football players in the world.
⠀
Ji dreams of becoming one of the best players in the world, period. #justdoit",184k,1042,0,0,0,0,0,0,0,0,1,0,0,1,0
"“It’s important for girls to believe in themselves, because if you believe in yourself that means you can do anything.” - Makena, Age 9, #justdoit",470k,2199,0,0,0,0,0,0,0,0,0,0,0,0,0
"“One of the biggest things is just trusting yourself.” @naomiosaka
⠀
Just because your situation changes doesn’t mean you have to. #justdoit",246k,771,0,0,0,0,0,0,0,0,0,0,0,1,0
"“He’s always trying to push me because he knows I’m going to improve.” @carogarcia

Sometimes your first coach is your best one.

Carolines father has guided her from her first tournament to her latest one. Challenging her and comforting her. Pushing her and patting her on the back. Celebrating and commiserating.

Traditionally, elite tennis players move on. They “grow up” and work with someone else. Obviously, Caroline is anything but traditional. #justdoit",253k,671,0,0,0,0,0,0,0,1,1,0,0,1,0
"“If you look around the tennis world, all of the players are much taller than me. But I don’t feel small.” @simonahalep
⠀
As a child, when Simona Halep told the world that she wanted to be the next great tennis player, they laughed at her. They said that she was too small.
⠀
You know what Simona told us? They were right. Size matters.
⠀
But it isn’t height or weight that counts. Its the size of your heart. #justdoit",324k,1293,0,0,1,0,0,0,0,0,2,0,0,1,0
This is what it looks like to be one of the world’s best tuberiders. #justdoit,264k,921,0,0,0,0,0,0,0,0,0,0,0,0,0
"“No one can ever say you can’t do something. If I fail, I’ll see that for myself. But let me try, let me fly, and I’ll find out.”
⠀
Ever since he was a kid, @AlexRoca91’s Crazy Dream was always there. At first, doctors said he was crazy to even walk. Now he’s training to become the first athlete with cerebral palsy to finish the 600km Titan Desert Race, one of the toughest races on the planet. #justdoit",504k,2876,0,0,0,0,0,0,0,0,1,0,0,0,1
"“Believe in yourself and trust that your mind and heart can break barriers.” @kipchogeeliud
⠀
It takes more than elite endurance to win a world championship. More than a timely kick to take home a gold medal. More than a stubborn work ethic to break a world record.
⠀
It takes a whole lot of belief. And that same belief carried Eliud Kipchoge to win today in London. #justdoit",389k,1604,0,0,1,0,0,0,0,0,1,0,0,1,0
"“It is great to see the trend of women coming to the marathon, taking on the challenge and really growing with it.” - @paula_radcliffe
⠀
Tomorrow, 60,000 runners will line up in Paris. That’s 60,000 runners who’ve committed weekends, early mornings, late nights, some sanity, and a few toenails to run 26.2 miles. Yeah, they’ve given up a lot. But it’s nothing compared to what they’ve gained.
⠀
Follow @nikerunning to support @voltwomen. #justdoit",384k,1319,0,0,1,0,0,0,0,1,0,0,0,1,0
This is what it looks like to be a two-time figure skating Olympic medalist. @jmedvedevaj #justdoit,324k,3177,0,0,0,0,0,0,0,0,0,0,0,0,0
"“The most important thing for me is to do everything from the heart.”
⠀
Evgenia Medvedeva’s crazy dream isn’t to win a world championship. She’s done that, twice. It isn’t to make it to the Olympics. She’s brought home two medals. It isn’t even to break a world record. Because she’s already shattered one.
⠀
Evgenia’s crazy dream isn’t an accolade or accomplishment. It isnt written in a record book. It’s written on her heart. #justdoit",551k,3420,1,0,0,0,0,0,0,1,1,0,0,0,1
"Sam Kerr
Four Time Golden Boot Winner
Perth Australia

Introducing Birthplace of Dreams. Stream the series premiere featuring @samanthakerr20 on IGTV now. #justdoit",423k,1699,0,0,0,0,0,0,0,2,1,0,0,0,0
"“World’s greatest selfie? I’d like to think so.” — @samanthakerr20
⠀
First, find a crazy dream. Then, find the others whose dreams are just as crazy. #justdoit",362k,1827,0,0,0,0,0,0,0,0,0,0,0,1,0
"It’s only a crazy dream until it’s a reality. #justdoit
⠀
The International Boxing Association rewrote the rules, allowing women everywhere to box in hijabs. A huge win for @zeina.boxer and for women across the world.",607k,7558,0,0,0,0,0,0,0,2,0,0,0,0,0
"One crazy dream turns into another.
And another.
And another.
And another.
And another.
#justdoit",641k,2697,0,0,0,0,0,0,0,0,0,0,0,0,0
"“To dream big requires courage.” - @iremyamany
⠀
Imagine loving your sport so much that you go a decade without winning a tournament and still don’t quit. Then, one day, you win. And then you win again. And again. And again. That’s how Turkish Taekwondo fighter Irem Yaman finally earned the nickname #Goldhunter. During one of her training days, she shared how those years of sacrifice and loss weren’t always easy. But they were worth it.

See Irem’s full story on @nike IGTV #justdoit",320k,2536,0,0,0,0,0,0,1,1,3,0,0,1,0
"“It’s in women’s nature to be strong.” - @yasemin.adar
⠀
Before Turkish wrestling champion Yasemin Adar became the best, people had more to say about her looks and her lifestyle than her talent on the mat. But she kept practicing. Kept working. Kept winning. At the National Wrestling Club in Istanbul, she shared what she wants for the future of her sport, and showed what true power looks like.

See Yasemin’s full story on @nike IGTV #justdoit",263k,1077,0,0,2,0,0,0,1,3,1,0,0,0,0
"“We live in a time where everything should be possible, but you have to fight for change.” - @zeina.boxer
⠀
German boxer Zeina Nassar didn’t start out looking to change the rules, but when she saw that women like her weren’t allowed to wear hijabs while competing, she made it her mission to do exactly that. Now, she’s fighting to change the rules internationally, so all women can experience the power of sport.

See Zeina’s full story on @nike IGTV #justdoit",534k,3653,0,0,0,0,0,0,1,1,2,0,0,0,0
"“I don’t wanna be just some other boxer with a good story. I want to be known as a great boxer.” - @somaliboxer
⠀
A lot can be said about British boxing champion Ramla Ali’s past, but it doesn’t define her. In an old local’s gym in East London, she shared what challenged her yesterday, what inspires her today,
and what she’s fighting for tomorrow.
⠀
See Ramla’s full story on @nike IGTV #justdoit",380k,999,0,0,1,0,0,0,1,1,2,0,0,1,0
"&quot;It’s my walk to the ring alone and it’s my fight to fight alone.”
⠀
14 years ago, Ghanian-born @boxingbuatsi came to the UK with a crazy dream. This Saturday, it’s on him to keep fighting for it. #justdoit",411k,3768,0,0,1,0,0,0,1,0,0,0,0,0,0
“I want my legacy to be universal.” @michaelbjordan’s dreams are bigger than the big screen. #justdoit #creed2,589k,2660,0,0,0,0,0,0,0,2,0,0,0,0,0
Don’t just dream of a place on the podium. Dream of a place in history. #justdoit,549k,3026,0,0,0,0,0,0,0,0,0,0,0,0,0
Dont chase records. Chase history. #justdoit,530k,1796,0,0,0,0,0,0,0,1,0,0,0,0,0
"&quot;People once told me that I couldn’t be a wrestler because I’m a woman.”
World Championship finalist @yasemin.adar keeps doing what she was told she couldn’t.  #justdoit",368k,1488,1,0,0,0,0,0,0,0,0,1,0,0,0
Never stop chasing your crazy dreams. #justdoit,640k,4242,0,0,0,0,0,0,0,0,0,0,0,0,0
“My father used to tell me that the real dreamer is the one who dreams about the impossible.” #justdoit,891k,3637,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yesterday, 2:01:39 seemed crazy. Today, it’s the marathon world record. #justdoit",653k,3193,0,0,0,0,0,0,0,0,0,0,0,0,0
“My crazy dream is to lose 500 pounds.” See @thatbigguy700’s story on our IGTV. #justdoit,912k,6747,0,0,0,0,0,0,0,0,0,0,0,0,0
"“Who would ever think a kid like me would go pro? Me.” @shaquem_griffin
⠀
If you have only one hand, don’t just watch football, play it. In the starting lineup. #justdoit",655k,4461,0,0,0,0,0,0,0,0,0,0,0,1,0
"You can take the superhero out of her costume, but you can never take away her superpowers. #justdoit",872k,6454,0,0,0,0,0,0,0,0,0,0,0,0,0
A Star is born. @k.mbappe #JustDoIt,1m,6580,0,0,0,0,0,1,0,0,0,0,0,0,0
"No love lost.
The greatest athlete ever is the mother of all inspiration. @serenawilliams #justdoit",416k,2429,0,0,0,0,0,0,0,0,0,0,0,0,0
Unstoppable belief. #JustDoIt,1m,6210,0,0,0,0,0,1,0,0,0,0,0,0,0
20 years in the making. Believe. #JustDoIt,680k,1836,0,0,0,0,0,1,0,0,0,0,0,0,0
Always believe in your game @neymarjr 🤙🇧🇷 #JustDoIt,1m,8924,0,0,0,0,0,0,0,1,0,0,0,0,0
"@k.mbappe believes there’s a number on your back, and it’s not your age. #JustDoIt",875k,2835,0,0,0,0,0,1,0,0,0,0,0,0,0
"Again. And again. And again. And again. And again. And again. And again. And again. And again. And again.
⠀
A historic 11 majors on clay, and counting. @rafaelnadal #nike #justdoit",597k,5034,0,0,0,0,0,0,0,0,0,0,0,0,0
"Self belief makes believers. ⠀
@simonahalep fearlessly captures her first major title on the clay in Paris. #nike #justdoit",362k,2270,0,0,1,0,0,1,0,0,1,0,0,0,0
"They wanted to measure London in minutes, miles and medals. All you wanted was to run a beautiful race.
⠀ ⠀
Congrats, @kipchogeeliud. You did. #justdoit",459k,1723,0,0,1,0,0,0,0,0,0,0,0,0,0
"Confidence from start to finish.⠀ ⠀ 
@preedgolf wins first major championship at The Masters. #justdoit",247k,1203,0,0,0,0,0,0,0,1,1,0,0,0,0
More than an athlete. #MakersOfTheGame #EQUALITY #MVP,539k,2121,0,0,0,0,0,0,0,1,0,0,0,0,0
@kendricklamar Maker. Since day one. #NBAAllStar #MakersOfTheGame,327k,899,0,0,0,0,0,0,0,1,1,0,0,0,0
"Outplay yourself.
@rogerfederer, Melbournes defending champion and holder of 19 major titles, just beat his own record, by winning 20. #justdoit",490k,1979,0,0,0,0,0,0,0,2,0,1,0,0,0
The inspiration for a running innovation that feels like this (without actually looking like this). Coming Feb. 22.,499k,2813,0,0,0,0,0,0,0,0,0,0,0,0,0
"@kendricklamar has always been about more than music.
⠀⠀ ⠀
Tonight, Kendrick debuts the Cortez Kenny I, a tribute to his album DAMN. #nike #cortez #cortezkenny #TDE #nationalchampionship",385k,1373,0,0,0,0,0,2,0,2,2,0,0,0,0
Only you can cross your finish line. Congrats @kevinhart4real for Breaking 26.2 at #TCSNYCMarathon,327k,962,0,0,0,0,0,0,1,2,0,0,0,0,0
"Shalane Flanagan.

After years of medals earned on the world stage, and a grueling 9-month injury recovery, her legacy is cemented on the streets of NYC, as the first American woman in 40 years to win the #TCSNYCMarathon. 
Geoffrey Kamworor.

Made his mark in the mud as a world cross country champion. Took to the track for titles won. Turned to the roads to face the world’s best in the marathon. And set a blistering pace on the concrete of NYC, to capture his first major marathon victory.

Congratulations @shalaneflanagan and @geoffreykamworor on your triumphant breakthrough victories in NYC.",226k,728,0,0,0,0,1,1,1,3,3,0,0,0,0
"Never bet against Houston.
Never let some Vegas oddsmaker tell you how it’ll end up,
or the evening news tell you it’ll never be the same.
Never take on a city that has U.S. in the middle of it.
Never forget this is Houston we’re talking about.
World champions.
If you think that’s where this story ends, you’ve never been to Houston.",382k,1877,0,0,5,0,0,0,0,0,0,0,0,0,0
"Legacies built on the track, extended to the road.
Congrats Galen Rupp and Tirunesh Dibaba on your breakthrough victories in Chicago. #justdoit",307k,820,0,0,1,0,0,0,0,1,1,0,0,0,0
Welcome to the Association. #NIKExNBA,244k,597,0,0,0,0,0,1,0,1,0,0,0,0,0
"Proof theres nothing to prove.
3 New York titles.
16 majors won.
Still number 1.
@rafaelnadal #JustDoIt",450k,1353,0,0,1,0,0,1,0,0,0,0,0,0,0
Cortez. Since day one. #teamnike @kendricklamar,373k,1356,0,0,0,0,0,0,0,0,1,0,0,0,0
"The Bra That Changes Everything.
Introducing the Nike FE/NOM Flyknit Bra. The first-ever sports bra with Nike Flyknit technology. Its incredibly supportive and impossibly light. 
Hit the link in the bio to learn more.
#nike #nikewomen #niketraining #flyknit",239k,1564,0,0,0,0,0,0,0,2,0,0,1,0,0
"Eliud Kipchoge - 2:00:25
The barrier just got that much closer.
#Breaking2 #JustDoIt",510k,2805,0,0,0,0,0,1,0,0,1,0,0,0,0
"We believe barriers are meant to be broken – even one as crazy as running a marathon under 2 hours. Can it be done? It’s a good day to find out. #Breaking2 #JustDoIt

Watch live at nike.com/justdoit.",458k,967,0,0,1,0,0,1,0,0,0,0,0,0,0
Everyone loves an underdog. @rogerfederer #justdoit,605k,3828,0,0,0,0,0,0,0,1,0,0,0,0,0
Everyone loves an underdog. #justdoit,490k,2418,0,0,0,0,0,0,0,0,0,0,0,0,0
"If anyone can.
#justdoit",336k,1410,0,0,0,0,0,0,0,0,0,0,0,0,0
"@nas is New York Made.
⠀
Visit Nike.com/nyc to learn more about the faces of #nymade and the latest updates on the worlds biggest stage.",434k,1629,0,0,1,0,0,0,0,0,1,0,0,0,0
"⚽✖🏀
Brilliance collides in Barcelona.
@Jumpman23 makes its Camp Nou debut tomorrow at the feet of @neymarjr. #Hypervenom",617k,3755,0,1,1,0,0,0,0,0,2,0,0,0,0
Unlimited Manila. #justdoit,383k,1262,0,0,1,0,0,0,0,0,0,0,0,0,0
Stand as one. Play as one. Win as one. #justdoit,801k,3889,0,0,0,0,0,0,0,0,0,0,0,0,0
History in hand. #AlwaysBelieve,778k,4369,0,0,0,0,0,1,0,0,0,0,0,0,0
"Brilliance collides. 
Introducing the new NJR x JORDAN collaboration, the first performance football collection to feature the Jumpman. @neymarjr @nikefootball @jumpman23",651k,4331,0,0,0,0,0,0,1,0,0,0,0,0,0
"Careers end, legends are forever. #MambaDay",815k,6347,0,0,0,0,0,0,0,1,0,0,0,0,0
"Defined by daring. Inspired by joy. 
Relentless and audacious every time he laces up, @neymarjr’s first ever signature #Hypervenom is designed to embody his iconic style of play. 
Discover the full story in the Nike Football App.",481k,3631,0,0,0,0,0,0,0,1,1,0,0,0,0
"The steps to the starting line will take you further than the finish.
⠀⠀⠀ ⠀
Catch up @nikerunning. #werunsf",484k,4459,0,0,1,0,0,0,0,0,0,0,0,0,0
"04:40:08.
⠀⠀⠀ ⠀
280 minutes. Thats the amount of time it took @nani183 to not only prove that she was a runner, but to prove that she was a marathon runner.
⠀⠀⠀ ⠀
Hours after the winner had crossed the finish line, the first timer found victory in defeat. It didnt matter how daunting the distance was. She didnt care if she finished 4th or 4,000th forward. She just wanted to finish.
⠀⠀⠀ ⠀
Hanin told us, &quot;To be successful, you mustnt give up. Only giving up is failure.&quot; #NRC",348k,1917,0,0,0,0,0,0,0,1,1,0,0,0,0
"A masterpiece in progress.
---
Subject: Ronaldo, Cristiano
Equipment: Mercurial Superfly
Height: 185 cm
Weight: 84 kg
Left Foot +89
Right Foot +326
Head: +83
Unknown: +2
Total Goals: +500",558k,4336,0,1,0,0,0,1,0,1,0,0,0,0,0
"How to run your Fastest Mile:

Step 1: Wake up hungry.
Step 2: @nikewomen
Step 3: @nikerunning

Stay up to speed at nike.com/findyourfast.",933k,17535,0,0,0,0,0,0,0,0,0,0,1,0,0
"You can quit. Or you can quit complaining.

Find your fast at Nike.com/Zoom",458k,3035,0,0,0,0,0,0,0,0,0,0,0,0,0
"If it seems like anything is possible, thats because it is.

@nikeyoungathletes",397k,2342,0,0,0,0,0,0,0,1,0,0,0,0,0
"At 1, I introduced myself to the world.

At 2, 3, 4 and 5 I had run them all.

At 6, the warm-up was over.

At 13, I went away.

At 14, I was back.

At 15, I was getting the hang of it.

At 16, I was starting to like it.

At 18, 19, 20, I began to realize,

Things start to get interesting at 21.

Just Do It.

#NikeCourt",404k,2415,0,0,0,0,0,1,0,0,0,0,0,0,0
"Greetings from mile one. Its here where you and a few of your fastest friends can enjoy a short, breathtaking stay. Relax, dig in your toes, and chase the sunset.

Wish you were here.

Find your fast at Nike.com/Zoom. #sofast",510k,2590,0,0,0,0,0,0,0,0,1,0,0,0,0
It takes more than one star to bring home your third. #nomaybes,538k,1392,0,0,0,0,0,0,0,0,0,0,0,0,0
"Why walk on water when you can fly?

#askwhatif",400k,1710,0,0,0,0,0,0,0,0,0,0,0,0,0
It doesn’t matter when you start. It matters if you keep going. #goskateboardingday,396k,1497,0,0,0,0,0,1,0,0,0,0,0,0,0
"“The only true disability in life is a bad attitude.” - @Leepster

Youre too tired. Youre too busy. You forgot your headphones. You forgot your headband. It’s too early. It’s too late.

Anyone can find excuses to stop. Find a reason to keep going.",464k,3054,0,0,0,0,0,0,0,0,0,0,0,1,0
"A sunset is not a stop sign.

@nikesverige",465k,1797,0,0,0,0,0,0,0,0,0,0,0,0,0
